{0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}
{ 5.58798019977000*10^-01,   0.00000000000000*10^+00,  -8.29303788048000*10^-01}   
{ 8.34367450478000*10^-01,   4.85623975239000*10^-01,   2.60768694931000*10^-01}   
{-9.35749732373000*10^-01,   3.32151192678000*10^-01,  -1.18524358536000*10^-01}   
{ 2.88190362252000*10^-01,   6.19977315887000*10^-01,   7.29776981612000*10^-01}   
{-7.72930564392000*10^-01,   3.72606732802000*10^-01,   5.13558726242000*10^-01}   
{ 8.19236393744000*10^-01,  -3.71634786170000*10^-02,  -5.72250475774000*10^-01}   
{ 3.59549913985000*10^-01,  -3.72620616800000*10^-03,   9.33118414105000*10^-01}   
{ 4.13738979681000*10^-01,  -8.89543524403000*10^-01,  -1.93732740871000*10^-01}   
{ 8.27811547383000*10^-01,  -5.10793607279000*10^-01,   2.31986923733000*10^-01}   
{-1.52923564753000*10^-01,   8.52909049123000*10^-01,  -4.99159831385000*10^-01}   
{-1.40576181203000*10^-01,  -8.83818263984000*10^-01,  -4.46210279494000*10^-01}   
{-8.79535313499000*10^-01,  -1.55461877870000*10^-01,  -4.49721287953000*10^-01}   
{ 3.65576345706000*10^-01,   4.41682698139000*10^-01,  -8.19310887042000*10^-01}   
{-1.10070814836000*10^-01,   6.09103095383000*10^-01,   7.85415708346000*10^-01}   
{-6.82258336003000*10^-01,   7.30787578904000*10^-01,  -2.17503442110000*10^-02}   
{ 9.71051422841000*10^-01,  -7.31584403580000*10^-02,  -2.27391681471000*10^-01}   
{-3.83231264954000*10^-01,  -5.34897525236000*10^-01,  -7.53006264953000*10^-01}   
{ 6.14075397970000*10^-01,  -7.80001606244000*10^-01,   1.20452894798000*10^-01}   
{ 2.58828229831000*10^-01,   1.34196486796000*10^-01,  -9.56555931650000*10^-01}   
{-9.63018054953000*10^-01,   1.46097398966000*10^-01,   2.26388550618000*10^-01}   
{ 2.53390009888000*10^-01,  -9.56541713863000*10^-01,   1.44296405115000*10^-01}   
{-7.96778412357000*10^-01,  -3.59684068220000*10^-01,   4.85563108845000*10^-01}   
{ 9.76997136704000*10^-01,  -1.44917105397000*10^-01,   1.56446883749000*10^-01}   
{-6.70370532402000*10^-01,   4.85971257790000*10^-02,  -7.40433432965000*10^-01}   
{ 5.35985432922000*10^-01,  -3.05405698016000*10^-01,   7.87049538031000*10^-01}   
{-3.87866579089000*10^-01,  -1.63344278140000*10^-01,  -9.07126321757000*10^-01}   
{ 6.45734959192000*10^-01,  -5.41482827801000*10^-01,   5.38351845613000*10^-01}   
{ 6.91110152203000*10^-01,   1.94558403080000*10^-02,   7.22487527781000*10^-01}   
{-1.29514954434000*10^-01,  -9.74529359786000*10^-01,   1.83080319787000*10^-01}   
{-7.29890610700000*10^-02,  -3.75564044204000*10^-01,  -9.23917878204000*10^-01}   
{ 7.70871187730000*10^-02,   6.84126148744000*10^-01,  -7.25278559400000*10^-01}   
{-6.49225359894000*10^-01,  -3.09920393157000*10^-01,  -6.94590369913000*10^-01}   
{ 3.07539257280000*10^-01,  -6.19218580676000*10^-01,   7.22487338696000*10^-01}   
{ 2.75505549192000*10^-01,  -5.64784013836000*10^-01,  -7.77891837005000*10^-01}   
{-1.64561315010000*10^-02,   3.75624012187000*10^-01,  -9.26626028776000*10^-01}   
{-4.92174334749000*10^-01,   7.05737534131000*10^-01,  -5.09606669043000*10^-01}   
{ 4.98233017800000*10^-02,  -9.86516528210000*10^-01,  -1.55893483402000*10^-01}   
{-4.21537280284000*10^-01,  -5.26259387857000*10^-01,   7.38483160284000*10^-01}   
{-4.20469615963000*10^-01,   8.81955670860000*10^-01,  -2.12977690590000*10^-01}   
{-7.38582201307000*10^-01,  -5.21458454390000*10^-01,  -4.27290781854000*10^-01}   
{-9.56141937638000*10^-01,  -2.18256398284000*10^-01,   1.95337502025000*10^-01}   
{-8.64541807580000*10^-01,   2.08182706771000*10^-01,  -4.57413842759000*10^-01}   
{-9.09204419734000*10^-01,  -3.93013233589000*10^-01,  -1.37433334237000*10^-01}   
{-6.10591498085000*10^-01,   6.98715851388000*10^-01,   3.72792410715000*10^-01}   
{ 8.99094909765000*10^-01,   2.61460808912000*10^-01,  -3.51093418676000*10^-01}   
{ 7.10485131255000*10^-01,  -6.72624095652000*10^-01,  -2.06851889557000*10^-01}   
{ 2.62663601806000*10^-01,  -2.35141295195000*10^-01,  -9.35797202165000*10^-01}   
{-2.91247896194000*10^-01,   8.12256975238000*10^-01,   5.05384278683000*10^-01}   
{ 7.03637052557000*10^-01,   5.60509224523000*10^-01,  -4.36719941717000*10^-01}   
{-2.63340998420000*10^-01,   3.05530845645000*10^-01,   9.15042305531000*10^-01}   
{-6.19795007373000*10^-01,   4.02743258602000*10^-01,  -6.73536945153000*10^-01}   
{ 6.68788216133000*10^-01,   3.04919583421000*10^-01,  -6.78045993726000*10^-01}   
{-1.76138670104000*10^-01,  -3.42559139372000*10^-01,   9.22837149733000*10^-01}   
{-7.32166771840000*10^-02,  -4.24262227500000*10^-03,  -9.97307033134000*10^-01}   
{ 4.32004294535000*10^-01,  -7.96680910655000*10^-01,   4.22695890802000*10^-01}   
{-3.84915136637000*10^-01,   9.10348246696000*10^-01,   1.52007918627000*10^-01}   
{ 5.82313506766000*10^-01,  -3.46758405572000*10^-01,  -7.35302378619000*10^-01}   
{ 8.35718972909000*10^-01,  -2.28987786925000*10^-01,   4.99137648109000*10^-01}   
{-5.97811002850000*10^-02,  -6.85221668673000*10^-01,  -7.25877045256000*10^-01}   
{-2.81215016390000*10^-01,   5.71078922170000*10^-01,  -7.71224337797000*10^-01}   
{-6.62527505218000*10^-01,  -7.36126798120000*10^-01,  -1.38472531280000*10^-01}   
{-7.59627362125000*10^-01,   5.60008427753000*10^-01,  -3.30691444637000*10^-01}   
{-8.49469825270000*10^-02,   9.87120166612000*10^-01,  -1.35564696093000*10^-01}   
{ 4.14116082084000*10^-01,   7.02249046280000*10^-01,  -5.79097701219000*10^-01}   
{ 1.13163033261000*10^-01,   3.39596486583000*10^-01,   9.33738911154000*10^-01}   
{ 2.74150024492000*10^-01,   9.61522312191000*10^-01,  -1.77934603230000*10^-02}   
{ 4.64057864447000*10^-01,   3.23305850663000*10^-01,   8.24696080609000*10^-01}   
{-9.91553541490000*10^-01,  -2.34218127350000*10^-02,  -1.27565642111000*10^-01}   
{ 1.89940887658000*10^-01,   9.04169947931000*10^-01,  -3.82621437527000*10^-01}   
{ 9.09661814944000*10^-01,  -4.04397305481000*10^-01,  -9.47533733090000*10^-02}   
{ 1.83887252653000*10^-01,  -3.39153655913000*10^-01,   9.22583479146000*10^-01}   
{-3.68742456435000*10^-01,   2.21444252135000*10^-01,  -9.02768765531000*10^-01}   
{ 6.72640762330000*10^-02,   8.30899612908000*10^-01,   5.52341721507000*10^-01}   
{-4.77664998986000*10^-01,   5.36270679877000*10^-01,   6.95880669834000*10^-01}   
{-6.12830546178000*10^-01,  -2.20337478855000*10^-01,   7.58874243260000*10^-01}   
{-2.76670908925000*10^-01,  -8.18662936842000*10^-01,   5.03233746877000*10^-01}   
{ 7.22539234741000*10^-01,   3.62836496148000*10^-01,   5.88461325256000*10^-01}   
{ 5.37880783882000*10^-01,   8.12970456788000*10^-01,  -2.23076889705000*10^-01}   
{ 6.22354625420000*10^-01,   7.72089902368000*10^-01,   1.28654198841000*10^-01}   
{ 8.30929042810000*10^-02,  -8.70526352779000*10^-01,   4.85056118789000*10^-01}   
{-8.00543772691000*10^-01,  -5.77830767601000*10^-01,   1.58875020122000*10^-01}   
{ 8.08402374646000*10^-01,  -3.79787561874000*10^-01,  -4.49718810494000*10^-01}   
{ 2.22615142753000*10^-01,  -8.37434355460000*10^-01,  -4.99145468288000*10^-01}   
{-5.34415442160000*10^-02,  -6.48386199411000*10^-01,   7.59433563760000*10^-01}   
{-6.01427320565000*10^-01,  -6.52006948769000*10^-01,   4.61705660388000*10^-01}   
{-4.65564314394000*10^-01,  -7.48007632960000*10^-01,  -4.73005761272000*10^-01}   
{-3.61041645910000*10^-01,  -4.26945783740000*10^-02,   9.31571845268000*10^-01}   
{ 5.40516496793000*10^-01,  -6.58291968538000*10^-01,  -5.23921368960000*10^-01}   
{ 8.29423781555000*10^-01,   5.50065833067000*10^-01,  -9.73846491170000*10^-02}   
{-4.92865948280000*10^-01,  -8.51356774961000*10^-01,   1.79651882135000*10^-01}   
{-6.05970742441000*10^-01,   1.81579658472000*10^-01,   7.74485821003000*10^-01}   
{ 9.11796324792000*10^-01,   1.25661629830000*10^-01,   3.90943239978000*10^-01}   
{-3.41878769580000*10^-02,   9.73439046000000*10^-01,   2.26379355930000*10^-01}   
{ 5.60606113701000*10^-01,   6.62923955196000*10^-01,   4.96238465768000*10^-01}   
{-8.42883814353000*10^-01,   1.42575389900000*10^-03,   5.38093711845000*10^-01}   
{ 9.75922655568000*10^-01,   2.16813598335000*10^-01,   2.38082743280000*10^-02}   
{ 3.34307002381000*10^-01,   8.83370719268000*10^-01,   3.28473744003000*10^-01}   
{-8.49491786927000*10^-01,   4.95340884074000*10^-01,   1.81662083299000*10^-01}   
{-3.36429301446000*10^-01,  -9.31385490065000*10^-01,  -1.39055363167000*10^-01}  
