{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}
{ 8.71906696961000*10^-01,   0.00000000000000*10^+00,   4.89672045142000*10^-01} 
{ 1.24853284620000*10^-01,  -9.56430661727000*10^-01,  -2.63916741849000*10^-01} 
{ 5.42118169002000*10^-01,   6.73623415533000*10^-01,   5.02333937618000*10^-01} 
{-3.40262946030000*10^-02,  -5.49452725835000*10^-01,   8.34831667672000*10^-01} 
{-1.52234315654000*10^-01,   2.11992067198000*10^-01,  -9.65341430056000*10^-01} 
{ 5.99802739136000*10^-01,   2.87787434029000*10^-01,  -7.46602348604000*10^-01} 
{-5.63600949625000*10^-01,   8.25639522503000*10^-01,  -2.59489588100000*10^-02} 
{ 2.39534899328000*10^-01,   1.32331309693000*10^-01,   9.61827144802000*10^-01} 
{-8.31351166157000*10^-01,   4.67493871260000*10^-01,   3.00507435621000*10^-01} 
{-4.36912713157000*10^-01,  -5.08642073916000*10^-01,  -7.41883091682000*10^-01} 
{ 4.91008871858000*10^-01,   3.20341585090000*10^-02,   8.70565391252000*10^-01} 
{ 8.97997420786000*10^-01,   3.94576863896000*10^-01,   1.94704213463000*10^-01} 
{-6.25756905009000*10^-01,  -7.45403084101000*10^-01,  -2.29788028508000*10^-01} 
{ 2.33541079112000*10^-01,   6.06918720622000*10^-01,  -7.59676398821000*10^-01} 
{ 8.16051535306000*10^-01,   2.00276709315000*10^-01,  -5.42170758554000*10^-01} 
{-7.67758536443000*10^-01,  -5.31950650048000*10^-01,  -3.57176896834000*10^-01} 
{-5.36437637193000*10^-01,  -4.13135597248000*10^-01,   7.35903281478000*10^-01} 
{-6.52244860297000*10^-01,   7.11313569077000*10^-01,  -2.61934435810000*10^-01} 
{ 1.85068265420000*10^-01,   9.79826804874000*10^-01,  -7.54265840750000*10^-02} 
{-4.70237972842000*10^-01,   7.44528557521000*10^-01,  -4.73870737579000*10^-01} 
{ 4.87261434504000*10^-01,   5.51988988568000*10^-01,  -6.76671597560000*10^-01} 
{ 4.05978065224000*10^-01,  -8.75032406486000*10^-01,   2.63628712693000*10^-01} 
{ 2.57253317857000*10^-01,   9.41908773410000*10^-01,   2.15936548607000*10^-01} 
{ 8.94495381270000*10^-01,   3.30751620067000*10^-01,  -3.00801227904000*10^-01} 
{-6.81154097932000*10^-01,   5.39719262689000*10^-01,  -4.94704166500000*10^-01} 
{-8.35375142984000*10^-01,   4.97703017827000*10^-01,  -2.33323973328000*10^-01} 
{-7.03823014262000*10^-01,   6.22581846950000*10^-02,   7.07641917239000*10^-01} 
{ 6.54973150543000*10^-01,  -7.17579055879000*10^-01,  -2.36834268280000*10^-01} 
{ 7.00557093667000*10^-01,  -2.68438695556000*10^-01,  -6.61181083548000*10^-01} 
{-2.81472442945000*10^-01,  -6.25862957164000*10^-01,   7.27371172588000*10^-01} 
{-6.51856418900000*10^-02,  -7.77472810887000*10^-01,   6.25529264241000*10^-01} 
{-4.06684623800000*10^-03,  -7.48633207695000*10^-01,  -6.62971930853000*10^-01} 
