{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00} 
{ 8.24767056403000*10^-01,   0.00000000000000*10^+00,  -5.65472636537000*10^-01} 
{-7.29534184163000*10^-01,   6.51285809415000*10^-01,  -2.08822097948000*10^-01} 
{ 6.93624145487000*10^-01,   3.75552254540000*10^-01,  -6.14691832472000*10^-01} 
{ 4.03718601630000*10^-01,   5.56622288440000*10^-01,  -7.26073631741000*10^-01} 
{ 8.56428793324000*10^-01,   5.07457985438000*10^-01,  -9.49532252220000*10^-02} 
{ 2.18435934183000*10^-01,  -6.27463459452000*10^-01,   7.47378986667000*10^-01} 
{-6.63101143532000*10^-01,   5.09711407783000*10^-01,  -5.48170734555000*10^-01} 
{ 5.54668032868000*10^-01,   7.67467142134000*10^-01,   3.21461598108000*10^-01} 
{-4.94170075762000*10^-01,   6.62068590750000*10^-01,  -5.63436879663000*10^-01} 
{-7.91585238357000*10^-01,  -5.53609757554000*10^-01,   2.58667830925000*10^-01} 
{ 1.15998117348000*10^-01,  -9.10109537261000*10^-01,  -3.97800285267000*10^-01} 
{ 4.04676180611000*10^-01,  -6.29014579524000*10^-01,   6.63760384169000*10^-01} 
{ 2.99891993332000*10^-01,  -8.99887753199000*10^-01,  -3.16649370721000*10^-01} 
{ 8.95922206555000*10^-01,   1.14036814440000*10^-01,  -4.29323892597000*10^-01} 
{-5.53058617771000*10^-01,  -4.16808719150000*10^-02,  -8.32099074766000*10^-01} 
{-6.74147154892000*10^-01,  -3.96706493895000*10^-01,   6.23016509615000*10^-01} 
{-5.16328411249000*10^-01,   7.98424146244000*10^-01,   3.09715763938000*10^-01} 
{ 4.60636981050000*10^-02,  -9.30490218789000*10^-01,   3.63408982352000*10^-01} 
{ 9.15111880441000*10^-01,   3.93763763967000*10^-01,   8.67199196370000*10^-02} 
{ 5.73247192877000*10^-01,  -5.11593346805000*10^-01,  -6.40046797792000*10^-01} 
{ 7.37246387384000*10^-01,   5.05390459458000*10^-01,   4.48384040503000*10^-01} 
{-3.11528432242000*10^-01,   7.42117507036000*10^-01,   5.93474213135000*10^-01} 
{-4.05325789419000*10^-01,  -6.31281033681000*10^-01,   6.61207426566000*10^-01} 
