{0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00} 
{ 7.74110552215000*10^-01,   0.00000000000000*10^+00,   6.33050434760000*10^-01} 
{-9.23625479299000*10^-01,   3.28631432803000*10^-01,   1.97274821918000*10^-01} 
{-6.26121935232000*10^-01,  -5.63875394302000*10^-01,  -5.38531207937000*10^-01} 
{-9.06678926326000*10^-01,  -3.98327930519000*10^-01,  -1.38809885547000*10^-01} 
{ 9.50615527919000*10^-01,   2.27177218383000*10^-01,  -2.11472526648000*10^-01} 
{ 2.85057073940000*10^-02,   4.24932162783000*10^-01,   9.04776260563000*10^-01} 
{-7.97623436789000*10^-01,   5.16708224910000*10^-01,  -3.11142191602000*10^-01} 
{ 3.23407285037000*10^-01,   7.66868800670000*10^-01,  -5.54364474461000*10^-01} 
{-7.14111610126000*10^-01,   6.92944105792000*10^-01,   9.93633460130000*10^-02} 
{-7.65490330702000*10^-01,  -2.27176688674000*10^-01,   6.02009390063000*10^-01} 
{ 4.58147561047000*10^-01,  -1.11982784152000*10^-01,  -8.81794005627000*10^-01} 
{ 5.27771200341000*10^-01,   7.99137175530000*10^-01,   2.87814757746000*10^-01} 
{-9.72636397277000*10^-01,   1.11982216885000*10^-01,  -2.03564294007000*10^-01} 
{ 7.37415303426000*10^-01,  -3.28630767588000*10^-01,  -5.90102100375000*10^-01} 
{-1.11305998711000*10^-01,  -7.99138257275000*10^-01,   5.90752926705000*10^-01} 
{ 9.18790814471000*10^-01,  -3.21467914121000*10^-01,   2.29089108067000*10^-01} 
{-8.41408601590000*10^-02,  -9.95769216998000*10^-01,  -3.69321286940000*10^-02} 
{ 1.10003861327000*10^-01,  -8.59766558575000*10^-01,  -4.98698922446000*10^-01} 
{ 7.12376242161000*10^-01,   5.70983104712000*10^-01,  -4.08042134758000*10^-01} 
{ 6.82350349184000*10^-01,  -4.24932265062000*10^-01,   5.94836591912000*10^-01} 
{ 4.57047264996000*10^-01,   8.78381531864000*10^-01,  -1.39834480868000*10^-01} 
{-7.16163231641000*10^-01,   2.25443770066000*10^-01,  -6.60518986998000*10^-01} 
{ 1.24644322127000*10^-01,   1.70894986577000*10^-01,  -9.77373365979000*10^-01} 
{-8.35500333117000*10^-01,  -1.70895882356000*10^-01,  -5.22239208366000*10^-01} 
{ 9.63890106207000*10^-01,   1.30153141662000*10^-01,   2.32327404478000*10^-01} 
{-1.74285679746000*10^-01,   7.38608013239000*10^-01,   6.51216327048000*10^-01} 
{ 3.12614068239000*10^-01,  -6.55826510800000*10^-01,   6.87141930078000*10^-01} 
{-5.79478395490000*10^-02,  -2.25443431592000*10^-01,  -9.72531391290000*10^-01} 
{-4.62965311042000*10^-01,   6.05889800040000*10^-01,  -6.46962650374000*10^-01} 
{ 2.64076835994000*10^-01,  -5.16707727320000*10^-01,  -8.14417920493000*10^-01} 
{-9.98705492800000*10^-02,   8.65613737908000*10^-01,  -4.90651332548000*10^-01} 
{-2.07740245608000*10^-01,  -6.05890096431000*10^-01,  -7.67946079749000*10^-01} 
{-4.04301734741000*10^-01,   3.21466957635000*10^-01,   8.56270461031000*10^-01} 
{ 6.14445702244000*10^-01,  -7.38607602899000*10^-01,   2.77336055957000*10^-01} 
{ 7.78683549448000*10^-01,   1.22796318996000*10^-01,  -6.15282856790000*10^-01} 
{-3.36199732537000*10^-01,   2.12411506347000*10^-01,  -9.17524436630000*10^-01} 
{-4.97433547378000*10^-01,  -2.12410473440000*10^-01,  -8.41095509865000*10^-01} 
{ 5.28986389955000*10^-01,  -6.92943346288000*10^-01,  -4.89900926798000*10^-01} 
{ 8.22237477488000*10^-01,   5.66304047852000*10^-01,   5.67913373660000*10^-02} 
{ 7.79999621058000*10^-01,  -6.13456972828000*10^-01,  -1.23576428332000*10^-01} 
{-2.05149625760000*10^-02,   5.63875005506000*10^-01,  -8.25605301870000*10^-01} 
{ 9.55580884362000*10^-01,  -2.04309547629000*10^-01,  -2.12421237613000*10^-01} 
{-3.30094344002000*10^-01,   9.16289107150000*10^-01,   2.26830324639000*10^-01} 
{-7.69369338611000*10^-01,   2.04310266346000*10^-01,   6.05250473664000*10^-01} 
{ 4.66519122818000*10^-01,   3.98329002224000*10^-01,  -7.89742941743000*10^-01} 
{-4.55686306545000*10^-01,   8.59766505956000*10^-01,  -2.30546189005000*10^-01} 
{-4.30343687577000*10^-01,  -1.30153772436000*10^-01,   8.93232503934000*10^-01} 
{ 3.84342650522000*10^-01,  -2.27566535250000*10^-01,   8.94703414000000*10^-01} 
{ 3.84558910571000*10^-01,  -9.16288670926000*10^-01,  -1.11935319865000*10^-01} 
{ 1.97500695988000*10^-01,  -9.30845746807000*10^-01,   3.07440515767000*10^-01} 
{ 3.34022837465000*10^-01,   6.55825922975000*10^-01,   6.76994167483000*10^-01} 
{-4.76555376577000*10^-01,  -5.66304757844000*10^-01,   6.72453637286000*10^-01} 
{-7.66840380962000*10^-01,  -5.70982383748000*10^-01,   2.93146631527000*10^-01} 
{ 1.12966167862000*10^-01,   9.30845948663000*10^-01,   3.47511819622000*10^-01} 
{ 7.32015806811000*10^-01,   4.40851237225000*10^-01,   5.19425687867000*10^-01} 
{-5.89440088263000*10^-01,   6.13457073624000*10^-01,   5.25576636819000*10^-01} 
{-6.33873783570000*10^-01,  -7.66867670677000*10^-01,  -1.00588280500000*10^-01} 
{-3.16595202601000*10^-01,  -8.65614354658000*10^-01,  -3.87916571830000*10^-01} 
{-9.69242888694000*10^-01,  -1.22795658405000*10^-01,   2.13282556702000*10^-01} 
{-3.97582205220000*10^-01,  -8.78381584582000*10^-01,   2.65281326066000*10^-01} 
{ 4.49290374061000*10^-01,   2.27565771420000*10^-01,   8.63916650756000*10^-01} 
{ 2.46759635020000*10^-02,   9.95769104834000*10^-01,  -8.85154601380000*10^-02} 
{-6.13109192710000*10^-02,  -4.40852084214000*10^-01,   8.95483339333000*10^-01} 
