{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}  
{ 9.96972891319000*10^-01,   0.00000000000000*10^+00,  -7.77499451740000*10^-02}  
{-9.82581060536000*10^-01,  -1.78228496639000*10^-01,   5.26218819720000*10^-02}  
{ 7.83068336711000*10^-01,   6.21935399592000*10^-01,  -5.82043422000000*10^-04}  
{ 4.95365041556000*10^-01,   8.04616360278000*10^-01,   3.27423255707000*10^-01}  
{-2.68566696162000*10^-01,  -7.34252990559000*10^-01,   6.23493765460000*10^-01}  
{-5.18797826849000*10^-01,   8.54890674061000*10^-01,   3.27875898300000*10^-03}  
{-9.60017419086000*10^-01,  -1.08846768613000*10^-01,   2.57912651907000*10^-01}  
{-6.76207321898000*10^-01,  -3.84601345320000*10^-01,  -6.28351384967000*10^-01}  
{-2.24573966429000*10^-01,   9.68876550694000*10^-01,  -1.04138192409000*10^-01}  
{-8.50989429348000*10^-01,  -1.28055589111000*10^-01,  -5.09331677039000*10^-01}  
{-1.17034299758000*10^-01,  -3.82618734103000*10^-01,  -9.16463789243000*10^-01}  
{-2.42832540611000*10^-01,  -3.71800943221000*10^-01,  -8.95989071273000*10^-01}  
{ 1.18185369053000*10^-01,   5.36531573563000*10^-01,   8.35563336386000*10^-01}  
{ 3.87868988733000*10^-01,  -1.78294868797000*10^-01,   9.04305582942000*10^-01}  
{ 7.62262920998000*10^-01,  -6.07812974675000*10^-01,  -2.22527811946000*10^-01}  
{-2.05458031773000*10^-01,  -8.86163211920000*10^-01,   4.15333310752000*10^-01}  
{-4.00891098554000*10^-01,   1.29678481055000*10^-01,   9.06901217692000*10^-01}  
{-1.61632828627000*10^-01,   9.63162162784000*10^-01,  -2.14926677945000*10^-01}  
{-2.96311835751000*10^-01,  -4.53648551960000*10^-02,  -9.54013273444000*10^-01}  
{-9.83477624389000*10^-01,   1.05232740135000*10^-01,  -1.47301842246000*10^-01}  
{ 9.39292243275000*10^-01,   3.40048361396000*10^-01,   4.57951267550000*10^-02}  
{ 4.08621574170000*10^-01,  -9.11467140107000*10^-01,  -4.74980170890000*10^-02}  
{-8.46440610041000*10^-01,   7.46054415840000*10^-02,   5.27230805018000*10^-01}  
{ 9.22328935836000*10^-01,   3.51691018398000*10^-01,   1.60071114503000*10^-01}  
{-5.62816608531000*10^-01,  -1.84414466096000*10^-01,   8.05747336239000*10^-01}  
{ 6.88770932121000*10^-01,  -3.31452962570000*10^-02,  -7.24220955511000*10^-01}  
{-6.93721949430000*10^-02,  -9.58534292457000*10^-01,  -2.76404610587000*10^-01}  
{-6.65367647350000*10^-02,  -7.36186242601000*10^-01,   6.73500315622000*10^-01}  
{ 1.70865010346000*10^-01,   1.29086130112000*10^-01,   9.76801883317000*10^-01}  
{-1.71065460940000*10^-01,  -2.67826821378000*10^-01,   9.48158953881000*10^-01}  
{ 7.82472530470000*10^-02,   9.00604217443000*10^-01,   4.27538782935000*10^-01}  
{-3.73974701880000*10^-02,   9.99300353112000*10^-01,   4.83212208000000*10^-04}  
{ 7.22143991034000*10^-01,  -5.19175144604000*10^-01,  -4.57127143625000*10^-01}  
{-3.41170368472000*10^-01,   9.32454689983000*10^-01,   1.18874012317000*10^-01}  
{ 9.13627041301000*10^-01,   1.76498936890000*10^-01,  -3.66242753758000*10^-01}  
{ 9.81587060638000*10^-01,   9.77512783820000*10^-02,  -1.64108287304000*10^-01}  
{-1.75564913877000*10^-01,  -3.85061463639000*10^-01,   9.06037874614000*10^-01}  
{ 3.59573592270000*10^-02,   6.20723016752000*10^-01,   7.83204957078000*10^-01}  
{ 8.93221107164000*10^-01,  -3.78010326417000*10^-01,   2.43442491853000*10^-01}  
{-8.54118167296000*10^-01,   5.19991968523000*10^-01,  -9.51362007300000*10^-03}  
{-9.03411487018000*10^-01,   2.11422207602000*10^-01,   3.73025917673000*10^-01}  
{ 7.52764931978000*10^-01,  -3.04805260431000*10^-01,   5.83471259274000*10^-01}  
{ 8.26162624100000*10^-01,  -8.86841972500000*10^-02,  -5.56408511526000*10^-01}  
{-9.07365714256000*10^-01,  -4.58430903620000*10^-02,  -4.17834742043000*10^-01}  
{ 8.38674106059000*10^-01,   3.83585781448000*10^-01,  -3.86636382273000*10^-01}  
{-8.89189043970000*10^-01,   8.15899688750000*10^-02,  -4.50206531564000*10^-01}  
{-9.54535134767000*10^-01,   1.41999887239000*10^-01,  -2.62104384777000*10^-01}  
{-8.12431876189000*10^-01,  -4.43776991390000*10^-01,   3.78175129358000*10^-01}  
{-6.14668305740000*10^-01,   4.56734263512000*10^-01,   6.43099281956000*10^-01}  
{ 3.06948964000000*10^-03,  -9.86966630690000*10^-01,   1.60895767932000*10^-01}  
{-7.89952684686000*10^-01,  -4.63954114860000*10^-02,  -6.11410027519000*10^-01}  
{-5.21727387399000*10^-01,   7.63220583448000*10^-01,  -3.81175647490000*10^-01}  
{ 9.01106211710000*10^-02,   9.95931340665000*10^-01,   9.16860649000000*10^-04}  
{ 5.47947478344000*10^-01,   7.33115134480000*10^-01,   4.02859479934000*10^-01}  
{-8.42270171800000*10^-03,   5.25448072931000*10^-01,   8.50783980073000*10^-01}  
{-3.62614348616000*10^-01,  -1.53787438641000*10^-01,  -9.19162802714000*10^-01}  
{-7.09660567510000*10^-01,   6.88359325827000*10^-01,   1.50144322130000*10^-01}  
{-5.69469411805000*10^-01,  -1.26207289567000*10^-01,  -8.12266156551000*10^-01}  
{ 4.63325320655000*10^-01,   8.85999474358000*10^-01,   1.82914919320000*10^-02}  
{ 9.88049242055000*10^-01,   1.25824672126000*10^-01,   8.90328431500000*10^-02}  
{-9.12546938245000*10^-01,   4.08914451552000*10^-01,  -6.85979681800000*10^-03}  
{ 2.81792257495000*10^-01,  -2.41124933200000*10^-01,   9.28682879247000*10^-01}  
{ 4.14783752898000*10^-01,  -7.30154896339000*10^-01,   5.42980907292000*10^-01}  
{-3.96034144690000*10^-01,  -4.69085834794000*10^-01,   7.89376612166000*10^-01}  
{ 7.53119395631000*10^-01,  -6.57506022929000*10^-01,   2.22936254720000*10^-02}  
{-8.54330924993000*10^-01,  -3.99497714473000*10^-01,  -3.32445855337000*10^-01}  
{ 7.02330428270000*10^-01,  -6.57902370036000*10^-01,   2.71838998356000*10^-01}  
{-3.29401105392000*10^-01,   7.77060217581000*10^-01,   5.36350939236000*10^-01}  
{ 9.25584459762000*10^-01,  -2.54506173130000*10^-01,  -2.80214231770000*10^-01}  
{ 8.61866730317000*10^-01,  -1.73126139133000*10^-01,  -4.76668731008000*10^-01}  
{-7.43882260610000*10^-01,   6.50343317486000*10^-01,  -1.53924500163000*10^-01}  
{-9.86019999867000*10^-01,   1.58049444489000*10^-01,   5.27724640290000*10^-02}  
{ 3.43422352076000*10^-01,   4.56188930735000*10^-01,  -8.20946251328000*10^-01}  
{-3.40898203420000*10^-02,   2.16432245369000*10^-01,   9.75702294408000*10^-01}  
{ 6.62106849154000*10^-01,   3.92294899955000*10^-01,   6.38528959227000*10^-01}  
{-6.17143323083000*10^-01,  -7.04457794918000*10^-01,   3.50532928486000*10^-01}  
{-8.77317131436000*10^-01,  -3.37724751232000*10^-01,   3.40964284485000*10^-01}  
