AcNH2           CC(=O)N
Adamantane		C1C2CC3CC1CC(C2)C3
Azolid          N1CCCC1
Bu				CCCC
CisButene	    C/C=C\C
DMP             COP(=O)(O)OC
Et				CC
Et2O			CCOCC
EtNH2           CCN
EtOH			CCO
Guanidine       N=C(N)N
H2O				O
HAc				CC(O)=O
Imidazole       N1C=CN=C1
Me				C
Me2O			COC
MeAc            CC(OC)=O
MeAcNH          CC(=O)NC
MeNH2           CN
MeOH			CO
MeSH            CS
Ph              c1ccccc1
PhOH            c1ccccc1(O)
Pr				CCC
PrOH			CCCO
Pyrrole         N1C=CC=C1
TriMeN          CN(C)C
Bu2OH			CCC(C)O
BuOH			CCCCO
Butadiene		C=CC=C
Furan			C1=COC=C1
