Ac-       CC(O)[O-]
AcNH2     CC(=O)N
Azolid    N1CCCC1
Bu				CCCC
CisButene C/C=C\C
DMP       O=P(OC)(OC)O
Et				CC
Et2O			CCOCC
Ethene    C=C
Ethyne    C#C
EtNH2     CCN
EtOH			CCO
Furan			C1=COC=C1
Guanidine	N=C(N)N
H2O				O
HAc				CC(O)=O
HCHO			C=O
Imidazole N1C=CN=C1
Me				C
Me2NH			CNC
Me2O			COC
Me2CO			CC(=O)C
Me2S			CSC
Me2S2			CSSC
Me3N      CN(C)C
MeAc      CC(OC)=O
MeAcNH    CC(=O)NC
MeBr			CBr
MeCl			CCl
MeNH2     CN
MeOH			CO
MeSH      CS
MP        O=P(OC)(O)O
Na+       [Na+]
Ph        c1ccccc1
PhBr			c1c(Br)cccc1
PhCl			c1c(Cl)cccc1
PhNH2			C1=CC=C(N)C=C1
PhOH      c1ccccc1(O)
Pr				CCC
PrImine 	CC(=N)C
PrOH			CCCO
Pyridine	C1=CN=CC=C1
Pyrrole   N1C=CC=C1
VinylBr   ccBr
VinylCl   ccCl
