{0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}
{ 4.67168853850000*10^-01,   0.00000000000000*10^+00,  -8.84168118625000*10^-01} 
{-3.00163498560000*10^-02,   1.35440981380000*10^-02,  -9.99457640997000*10^-01} 
{-8.10950286262000*10^-01,  -4.80420777830000*10^-02,   5.83139427559000*10^-01} 
{ 5.77527889665000*10^-01,   2.39623647152000*10^-01,  -7.80411458389000*10^-01} 
{ 1.90275370873000*10^-01,   4.85989382469000*10^-01,   8.53000353673000*10^-01} 
{-5.48501179912000*10^-01,  -4.35088805352000*10^-01,   7.14033743665000*10^-01} 
{ 4.91845249127000*10^-01,   8.61413749203000*10^-01,  -1.26706762232000*10^-01} 
{ 1.90984185448000*10^-01,  -9.28320647339000*10^-01,   3.18976200732000*10^-01} 
{-1.76506121518000*10^-01,  -8.71834828579000*10^-01,  -4.56891257022000*10^-01} 
{ 6.78804769999000*10^-01,  -3.91984666100000*10^-03,  -7.34308326951000*10^-01} 
{-2.74767825063000*10^-01,  -5.00175918704000*10^-01,   8.21173972224000*10^-01} 
{-8.53812484915000*10^-01,  -3.87687654695000*10^-01,  -3.47422686362000*10^-01} 
{-5.84350091900000*10^-02,  -9.18772222029000*10^-01,   3.90439436698000*10^-01} 
{ 2.25656613346000*10^-01,   7.14060748484000*10^-01,   6.62718899932000*10^-01} 
{ 7.07491869860000*10^-02,  -8.14293321582000*10^-01,   5.76125801339000*10^-01} 
{-5.85839940769000*10^-01,   3.63497778611000*10^-01,   7.24334818122000*10^-01} 
{-2.51144529810000*10^-02,   6.03461874475000*10^-01,  -7.96996254889000*10^-01} 
{-9.21288971653000*10^-01,   8.75886489650000*10^-02,   3.78886340850000*10^-01} 
{-4.09935729527000*10^-01,  -6.43737348065000*10^-01,   6.46184899516000*10^-01} 
{ 3.78872926541000*10^-01,  -1.82188309830000*10^-01,   9.07338263987000*10^-01} 
{ 1.21873858751000*10^-01,  -2.25863870106000*10^-01,   9.66505186087000*10^-01} 
{-6.47318147903000*10^-01,  -1.91354452020000*10^-01,   7.37809385334000*10^-01} 
{ 4.78351039953000*10^-01,  -8.11391863653000*10^-01,  -3.35892134731000*10^-01} 
{ 9.56426054080000*10^-02,   2.55427711552000*10^-01,   9.62085846587000*10^-01} 
{ 7.44958603914000*10^-01,  -6.05389721058000*10^-01,   2.80249824429000*10^-01} 
{ 7.41221933550000*10^-02,   2.44038543832000*10^-01,  -9.66928688982000*10^-01} 
{ 4.14719538406000*10^-01,  -8.87264761502000*10^-01,   2.01913217649000*10^-01} 
{ 6.02447238418000*10^-01,  -4.79918622642000*10^-01,  -6.37758136415000*10^-01} 
{-9.89112219570000*10^-01,  -9.78623300010000*10^-02,  -1.09908968991000*10^-01} 
{-2.40223965448000*10^-01,  -8.06471299861000*10^-01,   5.40274457035000*10^-01} 
{-3.86557711693000*10^-01,   8.84691192167000*10^-01,  -2.60565980190000*10^-01} 
{ 6.18808491208000*10^-01,   7.09701631643000*10^-01,   3.36748638085000*10^-01} 
{ 2.26392051442000*10^-01,   2.42242895800000*10^-03,  -9.74033249372000*10^-01} 
{-9.28357046358000*10^-01,   1.00890521312000*10^-01,  -3.57734953824000*10^-01} 
{ 4.06327615680000*10^-02,  -2.32467816360000*10^-01,  -9.71754955245000*10^-01} 
{-9.89084274788000*10^-01,  -3.45482702830000*10^-02,   1.43243549199000*10^-01} 
{ 9.06701079876000*10^-01,   4.16079120012000*10^-01,   6.90747250560000*10^-02} 
{-3.96251754265000*10^-01,  -2.85485004192000*10^-01,   8.72629852585000*10^-01} 
{ 7.05999181910000*10^-01,   1.06547130757000*10^-01,   7.00152029255000*10^-01} 
{ 3.87121357508000*10^-01,  -4.77086352591000*10^-01,  -7.89002957366000*10^-01} 
{ 2.81438837090000*10^-01,   9.27126081279000*10^-01,  -2.47445772624000*10^-01} 
{ 6.08774630351000*10^-01,  -1.38603443002000*10^-01,   7.81141814928000*10^-01} 
{ 8.32154937418000*10^-01,   3.74216093187000*10^-01,  -4.09243785208000*10^-01} 
{ 1.75095075821000*10^-01,   4.58598481124000*10^-01,  -8.71222788690000*10^-01} 
{ 7.22914879338000*10^-01,  -2.48864665244000*10^-01,  -6.44562220135000*10^-01} 
{-6.76847755820000*10^-01,  -7.36054747260000*10^-01,  -1.00261896080000*10^-02} 
{ 9.22436582928000*10^-01,   1.11167774262000*10^-01,  -3.69800590106000*10^-01} 
{-7.51723024050000*10^-01,   6.59122718244000*10^-01,   2.16734263160000*10^-02} 
{-1.53857783429000*10^-01,   9.71966787066000*10^-01,  -1.77787365464000*10^-01} 
{ 2.65893959692000*10^-01,  -9.38347766668000*10^-01,  -2.20915981740000*10^-01} 
{ 2.38065861140000*10^-01,   6.61105035441000*10^-01,  -7.11522858293000*10^-01} 
{-6.92121650365000*10^-01,   4.99551352118000*10^-01,   5.20976072093000*10^-01} 
{ 9.38909542021000*10^-01,  -3.31377318692000*10^-01,  -9.29405431370000*10^-02} 
{ 1.82127117972000*10^-01,   8.75321913583000*10^-01,   4.47929972764000*10^-01} 
{ 3.58791283560000*10^-01,   2.96516214560000*10^-01,   8.85068895253000*10^-01} 
{-2.51563785553000*10^-01,  -7.21048108879000*10^-01,  -6.45604589884000*10^-01} 
{ 2.58650538101000*10^-01,  -8.34405926617000*10^-01,  -4.86689478792000*10^-01} 
