{0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}  
{ 8.98656303236000*10^-01,   0.00000000000000*10^+00,  -4.38653449382000*10^-01}  
{ 3.46483589143000*10^-01,  -8.82469656677000*10^-01,   3.18113859331000*10^-01}  
{ 3.78684556278000*10^-01,   7.05009523660000*10^-02,  -9.22836725836000*10^-01}  
{ 5.79437037954000*10^-01,   7.23864068410000*10^-02,   8.11796111811000*10^-01}  
{-9.37073325486000*10^-01,  -2.91275770925000*10^-01,  -1.92488981331000*10^-01}  
{-2.39294347306000*10^-01,  -8.44187768051000*10^-01,   4.79672000039000*10^-01}  
{ 6.03190903883000*10^-01,   5.06781364863000*10^-01,  -6.15900464117000*10^-01}  
{-5.32681303631000*10^-01,   6.20436089234000*10^-01,  -5.75595072893000*10^-01}  
{-5.44879133808000*10^-01,  -6.28790339718000*10^-01,  -5.54733664219000*10^-01}  
{-4.21215696598000*10^-01,  -4.05105557549000*10^-01,   8.11459687343000*10^-01}  
{-9.13644113083000*10^-01,   2.41270991550000*10^-01,   3.27173873139000*10^-01}  
{ 2.13516248336000*10^-01,  -5.25762249893000*10^-01,   8.23398365485000*10^-01}  
{-8.43740220266000*10^-01,  -3.30296969361000*10^-01,   4.23091423615000*10^-01}  
{ 6.30446096225000*10^-01,   6.03407351450000*10^-01,   4.88300407507000*10^-01}  
{ 8.92041029072000*10^-01,  -4.47433261474000*10^-01,  -6.37673817840000*10^-02}  
{-6.46704988076000*10^-01,  -7.61212738738000*10^-01,   4.82475365320000*10^-02}  
{-1.88086026317000*10^-01,   9.70960645185000*10^-01,  -1.47848139004000*10^-01}  
{-5.52211707395000*10^-01,   1.93542059290000*10^-01,   8.10927679575000*10^-01}  
{-1.19710273311000*10^-01,  -9.84851778068000*10^-01,  -1.25444911018000*10^-01}  
{ 4.98129838101000*10^-01,  -8.33463443336000*10^-01,  -2.39176405642000*10^-01}  
{ 8.71252253696000*10^-01,   4.86674018590000*10^-01,  -6.37801698000000*10^-02}  
{-1.22314932623000*10^-01,  -3.00484499745000*10^-01,  -9.45911265749000*10^-01}  
{ 7.22545801436000*10^-01,  -4.60079939285000*10^-01,   5.15998075862000*10^-01}  
{-6.80128256232000*10^-01,   7.31793481201000*10^-01,   4.36331977570000*10^-02}  
{-9.18392671989000*10^-01,   2.72419907158000*10^-01,  -2.86953470480000*10^-01}  
{-6.64982833053000*10^-01,  -4.70125299210000*10^-02,  -7.45377524330000*10^-01}  
{-1.80326355198000*10^-01,   2.99242967223000*10^-01,  -9.36982418292000*10^-01}  
{ 4.71439271720000*10^-02,  -7.59094377557000*10^-01,  -6.49271265414000*10^-01}  
{ 5.67197241990000*10^-01,  -4.34810375547000*10^-01,  -6.99447800765000*10^-01}  
{ 8.08424594680000*10^-02,   7.55713587833000*10^-01,  -6.49893429658000*10^-01}  
{ 1.07615903008000*10^-01,   5.37314877815000*10^-01,   8.36487620648000*10^-01}  
{ 4.38872947989000*10^-01,   8.90179425440000*10^-01,  -1.22356552942000*10^-01}  
{-4.26968563936000*10^-01,   7.07224966378000*10^-01,   5.63498617870000*10^-01}  
{ 9.51782391686000*10^-01,   5.44414487390000*10^-02,   3.01904633179000*10^-01}  
{ 1.04515835944000*10^-01,   9.22040898226000*10^-01,   3.72715738917000*10^-01}
