{0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00} 
{ 9.38065697823000*10^-01,   0.00000000000000*10^+00,  -3.46457423888000*10^-01}  
{-9.15792381885000*10^-01,  -3.99676972347000*10^-01,  -3.97822957760000*10^-02}  
{-3.68048456630000*10^-01,   9.09738880164000*10^-01,  -1.92134076862000*10^-01}  
{-6.91687312866000*10^-01,   5.64523313550000*10^-02,  -7.19987357878000*10^-01}  
{-1.62358423150000*10^-02,   1.53834540120000*10^-01,  -9.87963223855000*10^-01}  
{-9.10510166080000*10^-01,   7.19110180940000*10^-02,  -4.07185514159000*10^-01}  
{ 7.49157409911000*10^-01,  -4.49451091197000*10^-01,   4.86576707001000*10^-01}  
{ 8.63749259379000*10^-01,  -3.53791796201000*10^-01,   3.58843394621000*10^-01}  
{-9.21908850494000*10^-01,   2.40693682301000*10^-01,  -3.03563210354000*10^-01}  
{ 1.92295604699000*10^-01,  -1.38617440740000*10^-02,   9.81239141323000*10^-01}  
{ 6.46577049901000*10^-01,   6.98125073657000*10^-01,   3.07505284626000*10^-01}  
{-1.94645142575000*10^-01,   7.50015090040000*10^-01,   6.32131816304000*10^-01}  
{ 4.96238656130000*10^-01,   7.73183292432000*10^-01,  -3.94885796739000*10^-01}  
{ 4.56512236148000*10^-01,  -6.18260073880000*10^-02,  -8.87566404872000*10^-01}  
{-6.46543091115000*10^-01,  -7.20176530446000*10^-01,  -2.51650146684000*10^-01}  
{ 7.53894689963000*10^-01,  -1.17410314809000*10^-01,   6.46419070280000*10^-01}  
{ 8.15344013738000*10^-01,  -2.49960104078000*10^-01,   5.22239490686000*10^-01}  
{-5.45282294007000*10^-01,  -6.02715037223000*10^-01,   5.82582014611000*10^-01}  
{-3.88587171354000*10^-01,   3.44380842650000*10^-02,   9.20768173110000*10^-01}  
{ 6.70222643614000*10^-01,   7.33412438575000*10^-01,   1.13612512211000*10^-01}  
{ 9.41692835938000*10^-01,  -1.83172938662000*10^-01,  -2.82245066007000*10^-01}  
{-1.71702322032000*10^-01,   2.68163964084000*10^-01,  -9.47948522324000*10^-01}  
{-9.46500926537000*10^-01,  -2.51593982170000*10^-01,  -2.02080340954000*10^-01}  
{-7.75929018998000*10^-01,  -4.09363400762000*10^-01,   4.79953918198000*10^-01}  
{-5.33879598742000*10^-01,  -4.64863315464000*10^-01,  -7.06310605883000*10^-01}  
{-3.57158586225000*10^-01,   9.20664445530000*10^-01,   1.57526896190000*10^-01}  
{-7.07696301166000*10^-01,  -7.03485977705000*10^-01,  -6.53714348000000*10^-02}  
{ 9.90966216800000*10^-01,   1.32369193762000*10^-01,  -2.15488678220000*10^-02}  
{-7.14333098043000*10^-01,   6.77536796289000*10^-01,   1.75134561737000*10^-01}  
{ 1.76764147740000*10^-01,  -4.95790863326000*10^-01,  -8.50262227737000*10^-01}  
{-2.64516499297000*10^-01,  -9.64270193024000*10^-01,   1.46293009420000*10^-02}  
{ 4.06992981083000*10^-01,   7.21002782711000*10^-01,   5.60813427686000*10^-01}  
{ 3.46445336486000*10^-01,   2.84482128320000*10^-01,  -8.93893476592000*10^-01}  
{-1.60964419992000*10^-01,   5.03592433985000*10^-01,   8.48813946592000*10^-01}  
{-6.18862142368000*10^-01,   2.33026585636000*10^-01,   7.50138826572000*10^-01}  
