{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00} 
{ 9.67072165324000*10^-01,   0.00000000000000*10^+00,  -2.54502312474000*10^-01} 
{-3.25877858598000*10^-01,   9.39010026230000*10^-01,  -1.09835294486000*10^-01} 
{-4.65895885493000*10^-01,   1.54249023925000*10^-01,   8.71291146804000*10^-01} 
{-8.51983506490000*10^-01,  -2.88269348664000*10^-01,   4.37063939590000*10^-01} 
{ 2.75670752317000*10^-01,  -4.33619357311000*10^-01,   8.57892702663000*10^-01} 
{ 8.98715311595000*10^-01,   4.77118936680000*10^-02,   4.35929310677000*10^-01} 
{ 1.92728626005000*10^-01,  -7.33265517804000*10^-01,   6.52056253031000*10^-01} 
{-1.68367811523000*10^-01,  -5.43934804180000*10^-02,   9.84222347506000*10^-01} 
{-2.83008836843000*10^-01,  -9.04123053293000*10^-01,  -3.20105455707000*10^-01} 
{-3.02201464779000*10^-01,  -1.08322813989000*10^-01,  -9.47069396958000*10^-01} 
{-9.16960825913000*10^-01,   8.10325718950000*10^-02,   3.90661702798000*10^-01} 
{ 3.94668106954000*10^-01,  -8.77107064415000*10^-01,  -2.73715697224000*10^-01} 
{-9.50570477288000*10^-01,  -1.97654554269000*10^-01,  -2.39475353399000*10^-01} 
{-8.78810277936000*10^-01,  -3.78322501765000*10^-01,   2.90799896925000*10^-01} 
{ 3.44190731596000*10^-01,   8.80429735011000*10^-01,   3.26153678488000*10^-01} 
{-6.54046858982000*10^-01,   6.69271417132000*10^-01,  -3.52559890609000*10^-01} 
{-5.79461964337000*10^-01,   3.42022680966000*10^-01,  -7.39759635011000*10^-01} 
{ 4.82073401974000*10^-01,   3.95167230829000*10^-01,  -7.81951465750000*10^-01} 
{-7.34678363253000*10^-01,   2.92656579894000*10^-01,  -6.12045610075000*10^-01} 
{ 3.74519354899000*10^-01,  -6.71934671013000*10^-01,   6.38935873697000*10^-01} 
{ 6.42709009950000*10^-01,   3.83882323549000*10^-01,  -6.62992828163000*10^-01} 
{ 6.27702146868000*10^-01,   7.67224472522000*10^-01,  -1.31744539094000*10^-01} 
{-4.18733836220000*10^-01,  -8.40296640395000*10^-01,   3.44330554186000*10^-01} 
{ 7.10854178043000*10^-01,   2.52623955315000*10^-01,   6.56404962473000*10^-01} 
{-2.88753769561000*10^-01,  -9.26661656189000*10^-01,   2.40664570541000*10^-01} 
{ 5.25261703962000*10^-01,   9.21992447610000*10^-02,   8.45931109261000*10^-01} 
{ 4.45239596428000*10^-01,   8.78871760820000*10^-01,   1.71307121294000*10^-01} 
{-2.99732617120000*10^-02,  -2.08949824461000*10^-01,  -9.77466917312000*10^-01} 
{ 9.75887110684000*10^-01,  -2.18174601933000*10^-01,   6.64757637100000*10^-03} 
{-1.44145837616000*10^-01,  -9.81731064006000*10^-01,   1.24201833577000*10^-01} 
{-4.16658282183000*10^-01,   3.83386832023000*10^-01,  -8.24263557923000*10^-01} 
{-4.26150939244000*10^-01,   8.69737541531000*10^-01,  -2.48901558519000*10^-01} 
{-3.79117309254000*10^-01,  -2.94751844253000*10^-01,  -8.77149597351000*10^-01} 
{ 5.91425373396000*10^-01,   7.80260489478000*10^-01,   2.03493479654000*10^-01} 
{ 9.03544494333000*10^-01,   4.19195267922000*10^-01,   8.87844249410000*10^-02} 
{ 4.79503564788000*10^-01,   6.65704229368000*10^-01,  -5.71764121257000*10^-01} 
{ 8.23871133541000*10^-01,  -5.47703365436000*10^-01,   1.45799104279000*10^-01} 
{-5.92667032273000*10^-01,   7.76946394615000*10^-01,  -2.12367814773000*10^-01} 
{ 8.00798262790000*10^-02,  -6.00228160427000*10^-01,  -7.95809887381000*10^-01} 
{-2.72947822900000*10^-02,   9.99627273827000*10^-01,   5.55231302000000*10^-04} 
{-9.36557847160000*10^-02,  -9.94418164299000*10^-01,  -4.85912389440000*10^-02} 
{-1.72409360366000*10^-01,   7.21093457200000*10^-01,   6.71043395349000*10^-01} 
{ 4.41564345640000*10^-01,  -8.17661736202000*10^-01,   3.69391680753000*10^-01} 
{ 7.17429715443000*10^-01,   6.57949443921000*10^-01,   2.28904199705000*10^-01} 
{-9.30293485530000*10^-02,  -9.20714339859000*10^-01,  -3.78986338390000*10^-01} 
{ 8.51013598084000*10^-01,   2.20298187816000*10^-01,  -4.76701756155000*10^-01} 
