{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}
{ 9.98304362881000*10^-01,   0.00000000000000*10^+00,  -5.82099566460000*10^-02}  
{ 7.33951920727000*10^-01,  -2.99564452640000*10^-02,   6.78540484752000*10^-01}  
{ 4.78969434236000*10^-01,  -2.12187332730000*10^-01,   8.51800925626000*10^-01}  
{-3.37558094414000*10^-01,   8.64337866371000*10^-01,   3.72792952794000*10^-01}  
{-9.41242981907000*10^-01,  -3.09559117882000*10^-01,  -1.35036297147000*10^-01}  
{ 4.58143300648000*10^-01,   8.79999295956000*10^-01,   1.25323402400000*10^-01}  
{-4.28541204872000*10^-01,  -3.13477034988000*10^-01,   8.47398716226000*10^-01}  
{ 7.16346672674000*10^-01,  -6.95703868469000*10^-01,   5.33251530380000*10^-02}  
{-9.82159679618000*10^-01,  -1.87848150638000*10^-01,   8.68539201900000*10^-03}  
{ 2.97402810842000*10^-01,  -3.10833251040000*10^-02,  -9.54245982440000*10^-01}  
{-3.70843859472000*10^-01,  -1.78673324508000*10^-01,  -9.11345529973000*10^-01}  
{ 3.23317121549000*10^-01,   8.68217367590000*10^-01,  -3.76383636106000*10^-01}  
{-8.60333574395000*10^-01,   2.04078583813000*10^-01,  -4.67095356857000*10^-01}  
{ 2.29729524400000*10^-03,   9.11693020787000*10^-01,   4.10865620713000*10^-01}  
{-2.81803500508000*10^-01,  -8.99952521446000*10^-01,  -3.32674384713000*10^-01}  
{-5.72180092810000*10^-02,  -6.18122477366000*10^-01,   7.83996621414000*10^-01}  
{ 8.98456599660000*10^-01,  -4.08865510270000*10^-01,   1.60014790064000*10^-01}  
{ 5.35390318400000*10^-02,   6.75631431297000*10^-01,  -7.35292962779000*10^-01}  
{-6.22486038242000*10^-01,  -7.54515763043000*10^-01,   2.07887218254000*10^-01}  
{-8.37818915609000*10^-01,  -3.01220485655000*10^-01,  -4.55330301725000*10^-01}  
{-8.52212827032000*10^-01,  -5.16867534269000*10^-01,   8.11249003740000*10^-02}  
{-4.82717518377000*10^-01,  -8.32405797785000*10^-01,   2.72184469185000*10^-01}  
{ 9.34408430508000*10^-01,  -3.21418210680000*10^-01,  -1.53529211680000*10^-01}  
{-4.44584463974000*10^-01,  -7.01761745199000*10^-01,   5.56664268089000*10^-01}  
{-2.30915178508000*10^-01,   6.02038078450000*10^-01,   7.64348305703000*10^-01}  
{-9.89275789029000*10^-01,   1.20614406238000*10^-01,   8.23746213940000*10^-02}  
{-7.79223484502000*10^-01,  -3.57156253786000*10^-01,   5.15024437850000*10^-01}  
{-4.64178811035000*10^-01,   3.94680164798000*10^-01,   7.92947412444000*10^-01}  
{-9.57383579246000*10^-01,   2.87752734597000*10^-01,   2.48001194150000*10^-02}  
{ 5.41950954102000*10^-01,  -6.65271935663000*10^-01,  -5.13519634451000*10^-01}  
{-9.03774813617000*10^-01,   1.92637281671000*10^-01,   3.82206703214000*10^-01}  
{ 2.92027502849000*10^-01,   5.98307740184000*10^-01,   7.46155336117000*10^-01}  
{ 4.41174488687000*10^-01,   7.70400287593000*10^-01,  -4.60269994033000*10^-01}  
{-7.81907080205000*10^-01,  -4.94055271334000*10^-01,  -3.80171943721000*10^-01}  
{ 6.34603357684000*10^-01,  -5.46746533732000*10^-01,   5.46211320158000*10^-01}  
{-8.97263749373000*10^-01,  -2.73002613908000*10^-01,   3.46968783698000*10^-01}  
{-2.10873722359000*10^-01,  -1.85176005888000*10^-01,  -9.59813586100000*10^-01}  
{ 2.74299383022000*10^-01,   8.03585130501000*10^-01,   5.28214716296000*10^-01}  
{ 7.02087427456000*10^-01,  -3.82645574847000*10^-01,   6.00546091702000*10^-01}  
{-5.93915253804000*10^-01,  -6.16856385404000*10^-01,   5.16481239819000*10^-01}  
{-2.60311513925000*10^-01,  -8.30965985809000*10^-01,  -4.91663956526000*10^-01}  
{-4.95926355213000*10^-01,   7.98289948783000*10^-01,   3.41745823497000*10^-01}  
{-5.68634474363000*10^-01,   4.79507366293000*10^-01,   6.68376780145000*10^-01}  
