{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}  
{ 7.71541584827000*10^-01,   0.00000000000000*10^+00,  -6.36178892201000*10^-01}  
{-8.09237202979000*10^-01,  -5.70916439013000*10^-01,  -1.38526419787000*10^-01}  
{ 2.10499316654000*10^-01,  -8.57552414296000*10^-01,  -4.69354763930000*10^-01}  
{-4.83706548879000*10^-01,   8.40073601348000*10^-01,   2.45569376937000*10^-01}  
{ 9.09233805672000*10^-01,  -2.85623101681000*10^-01,   3.02842088241000*10^-01}  
{-3.66325857518000*10^-01,   7.87230479950000*10^-01,   4.96057998173000*10^-01}  
{-2.62016184707000*10^-01,   1.72347395272000*10^-01,  -9.49549311144000*10^-01}  
{ 7.47490679787000*10^-01,  -6.45158463803000*10^-01,   1.58203161206000*10^-01}  
{ 2.53830752430000*10^-02,   5.07327254011000*10^-01,  -8.61379566062000*10^-01}  
{ 7.66386547860000*10^-02,  -9.75226603838000*10^-01,  -2.07508042638000*10^-01}  
{-9.47593003352000*10^-01,   2.59807036059000*10^-01,  -1.85924188883000*10^-01}  
{ 9.79138866489000*10^-01,  -1.23499169427000*10^-01,  -1.61353758188000*10^-01}  
{ 6.10983035441000*10^-01,   1.35239505371000*10^-01,  -7.80006414455000*10^-01}  
{ 4.41187536310000*10^-02,  -2.27004212505000*10^-01,   9.72893942361000*10^-01}  
{-6.58013466370000*10^-02,  -9.79697268245000*10^-01,  -1.89376464680000*10^-01}  
{-7.30190840620000*10^-02,   8.86177404983000*10^-01,  -4.57556357470000*10^-01}  
{ 7.18141626797000*10^-01,  -5.96929773706000*10^-01,  -3.57697426779000*10^-01}  
{ 9.39107392284000*10^-01,   1.06170100616000*10^-01,  -3.26810672245000*10^-01}  
{ 1.73814655920000*10^-02,   8.80409434115000*10^-01,   4.73895677311000*10^-01}  
{ 8.55902824882000*10^-01,  -4.86540280056000*10^-01,  -1.75239579556000*10^-01}  
{ 4.80445969309000*10^-01,   6.17893480416000*10^-01,  -6.22398037782000*10^-01}  
{ 5.25081762314000*10^-01,  -8.48744080167000*10^-01,  -6.26308970600000*10^-02}  
{-5.71667975328000*10^-01,   7.60023195528000*10^-01,  -3.09128562648000*10^-01}  
{ 9.74075178310000*10^-01,  -2.15856552402000*10^-01,   6.77015198230000*10^-02}  
{-7.77896432664000*10^-01,   2.07181751459000*10^-01,   5.93256152021000*10^-01}  
{-7.11154782469000*10^-01,  -4.87365927454000*10^-01,  -5.06688590880000*10^-01}  
{ 5.43645039120000*10^-01,  -8.36540035244000*10^-01,   6.81970737910000*10^-02}  
{-3.27220938613000*10^-01,   8.11033078653000*10^-01,  -4.84924532957000*10^-01}  
{ 7.60913745555000*10^-01,  -5.25932784230000*10^-02,   6.46718036621000*10^-01}  
{-8.60135555830000*10^-01,  -2.48015551578000*10^-01,  -4.45707428446000*10^-01}  
{ 6.49464652506000*10^-01,  -5.82382736954000*10^-01,  -4.88902866471000*10^-01}  
{-4.16833571653000*10^-01,  -5.66671530844000*10^-01,  -7.10727197787000*10^-01}  
{-2.51698470679000*10^-01,  -7.42090201277000*10^-01,  -6.21248752937000*10^-01}  
{-8.83692598957000*10^-01,  -3.96511323907000*10^-01,   2.48729090704000*10^-01}  
{-9.45003869906000*10^-01,  -3.17772983891000*10^-01,  -7.73822755710000*10^-02}  
{ 7.44787063277000*10^-01,   2.65344858643000*10^-01,  -6.12277989452000*10^-01}  
{-2.92495860665000*10^-01,   6.47977500916000*10^-01,   7.03257655345000*10^-01}  
{ 4.59488273293000*10^-01,  -4.69760784709000*10^-01,   7.53787325348000*10^-01}  
{ 5.81395265800000*10^-01,   6.23153647343000*10^-01,  -5.23124341537000*10^-01}  
